serie,modelo,repeticao,mae,qtd_deteccoes
B3SA3.SA,WinKS - Retrain Unique,27,0.030357819044673502,6
B3SA3.SA,WinKS - Retrain Unique,28,0.02995633174801291,8
B3SA3.SA,WinKS - Retrain Unique,29,0.0294189017801395,8
B3SA3.SA,WinKS - Retrain Unique,30,0.029807113824532796,7
B3SA3.SA,WinKS - Retrain Incremental,1,0.11386470028261139,6
B3SA3.SA,WinKS - Retrain Incremental,2,0.03230678301103134,4
B3SA3.SA,WinKS - Retrain Incremental,3,0.03298768040930149,5
B3SA3.SA,WinKS - Retrain Incremental,4,0.032409704481712036,6
B3SA3.SA,WinKS - Retrain Incremental,5,0.08723757208180223,8
B3SA3.SA,WinKS - Retrain Incremental,6,0.03474469105233101,7
B3SA3.SA,WinKS - Retrain Incremental,7,0.03180336556249661,5
B3SA3.SA,WinKS - Retrain Incremental,8,0.032818449875697805,4
B3SA3.SA,WinKS - Retrain Incremental,9,0.06288648216972609,7
B3SA3.SA,WinKS - Retrain Incremental,10,0.03514596857366153,7
B3SA3.SA,WinKS - Retrain Incremental,11,0.03321415555664569,6
B3SA3.SA,WinKS - Retrain Incremental,12,0.08738413986825197,9
B3SA3.SA,WinKS - Retrain Incremental,13,0.14671958520201206,6
B3SA3.SA,WinKS - Retrain Incremental,14,0.11085593567132632,6
B3SA3.SA,WinKS - Retrain Incremental,15,0.03458827500786098,8
B3SA3.SA,WinKS - Retrain Incremental,16,0.07643778907080251,8
B3SA3.SA,WinKS - Retrain Incremental,17,0.03388822998322993,6
B3SA3.SA,WinKS - Retrain Incremental,18,0.05623737374260677,7
B3SA3.SA,WinKS - Retrain Incremental,19,0.032104570479701985,7
B3SA3.SA,WinKS - Retrain Incremental,20,0.06249647702392663,6
B3SA3.SA,WinKS - Retrain Incremental,21,0.0874304884307088,6
B3SA3.SA,WinKS - Retrain Incremental,22,0.05593400632242903,8
B3SA3.SA,WinKS - Retrain Incremental,23,0.11513328908920965,8
B3SA3.SA,WinKS - Retrain Incremental,24,0.03215648754530757,5
B3SA3.SA,WinKS - Retrain Incremental,25,0.03371214514585852,4
B3SA3.SA,WinKS - Retrain Incremental,26,0.03193133857844684,6
B3SA3.SA,WinKS - Retrain Incremental,27,0.11548131462404516,6
B3SA3.SA,WinKS - Retrain Incremental,28,0.1245033842145534,8
B3SA3.SA,WinKS - Retrain Incremental,29,0.06279011428712154,8
B3SA3.SA,WinKS - Retrain Incremental,30,0.03250149867898606,7
IXIC,LR + KSWIN,1,0.00809023412068066,21
IXIC,LR + KSWIN,2,0.008656392586947337,20
IXIC,LR + KSWIN,3,0.00847888423834144,24
IXIC,LR + KSWIN,4,0.008006199194365972,19
IXIC,LR + KSWIN,5,0.00813944905931757,20
IXIC,LR + KSWIN,6,0.00788007737916282,21
IXIC,LR + KSWIN,7,0.00808906213950349,21
IXIC,LR + KSWIN,8,0.008255510630391101,23
IXIC,LR + KSWIN,9,0.008638246042104348,20
IXIC,LR + KSWIN,10,0.00798208712986258,20
IXIC,LR + KSWIN,11,0.00812669180918897,22
IXIC,LR + KSWIN,12,0.008086936720715941,22
IXIC,LR + KSWIN,13,0.007866878033047888,21
IXIC,LR + KSWIN,14,0.008398873661943786,20
IXIC,LR + KSWIN,15,0.007796061598432876,24
IXIC,LR + KSWIN,16,0.008049280263641337,20
IXIC,LR + KSWIN,17,0.008551947949128133,22
IXIC,LR + KSWIN,18,0.00826894262001306,22
IXIC,LR + KSWIN,19,0.00818110140062896,20
IXIC,LR + KSWIN,20,0.008086239450172778,20
IXIC,LR + KSWIN,21,0.008603054614609933,21
IXIC,LR + KSWIN,22,0.007947162519993852,22
IXIC,LR + KSWIN,23,0.008096617451492254,22
IXIC,LR + KSWIN,24,0.008091664851739165,21
IXIC,LR + KSWIN,25,0.007804966093548815,20
IXIC,LR + KSWIN,26,0.008230087576900316,23
IXIC,LR + KSWIN,27,0.008201993603722499,21
IXIC,LR + KSWIN,28,0.008414615545166202,22
IXIC,LR + KSWIN,29,0.008265492714406531,20
IXIC,LR + KSWIN,30,0.007852211153751724,24
IXIC,WinKS - Retrain Unique,1,0.0075593318047918155,21
IXIC,WinKS - Retrain Unique,2,0.007728690001909256,20
IXIC,WinKS - Retrain Unique,3,0.007554059034614736,24
IXIC,WinKS - Retrain Unique,4,0.007566028423733231,19
IXIC,WinKS - Retrain Unique,5,0.007575957347952984,20
IXIC,WinKS - Retrain Unique,6,0.007474457561252163,21
IXIC,WinKS - Retrain Unique,7,0.007568987651732701,21
IXIC,WinKS - Retrain Unique,8,0.007553155030950377,23
IXIC,WinKS - Retrain Unique,9,0.007702084684422344,20
IXIC,WinKS - Retrain Unique,10,0.007484625664826153,22
IXIC,WinKS - Retrain Unique,11,0.007471618691341486,22
IXIC,WinKS - Retrain Unique,12,0.007547168207671235,22
IXIC,WinKS - Retrain Unique,13,0.007416379078658541,21
IXIC,WinKS - Retrain Unique,14,0.00772691698498992,20
IXIC,WinKS - Retrain Unique,15,0.00736897178913978,24
IXIC,WinKS - Retrain Unique,16,0.007547211089850153,20
